Date,Revenue,COGS,year,month,total_sessions,total_page_views,avg_bounce_rate,total_refund_amount,total_returned_items,avg_rating,total_reviews,new_customers,total_orders,total_payment_value,total_shipping_fee,total_discount_given,total_items_sold,total_stock_on_hand,avg_fill_rate,total_stockout_days,conversion_rate,aov,rev_per_session,discount_ratio,return_rate,stock_efficiency,sessions_x_conv,price_effect
2012-07-04,5123547.94,3982991.19,2012,7,,,,0.0,0.0,3.937823228715949,,3.0,162,5123547.94,574.11,0.0,777,23698,0.9660749367088608,402,,31626.83913580247,,0.0,0.0,0.0327875770107182,,
2012-07-05,2751773.45,2150580.23,2012,7,,,,0.0,0.0,3.937823228715949,,5.0,97,2751773.45,324.96,0.0,428,23698,0.9660749367088608,402,,28368.798453608248,,0.0,0.0,0.018060595830871804,,
2012-07-06,3054029.42,2517632.84,2012,7,,,,0.0,0.0,3.937823228715949,,0.0,93,3054029.42,235.94,0.0,441,23698,0.9660749367088608,402,,32839.02602150538,,0.0,0.0,0.01860916533040763,,
2012-07-07,2667930.94,2108246.62,2012,7,,,,0.0,0.0,3.937823228715949,,4.0,73,2667930.94,247.92,0.0,364,23698,0.9660749367088608,402,,36546.99917808219,,0.0,0.0,0.015359945987003123,,
2012-07-08,2360851.9,1808622.79,2012,7,,,,0.0,0.0,3.937823228715949,,4.0,88,2360851.9,447.98,0.0,394,23698,0.9660749367088608,402,,26827.8625,,0.0,0.0,0.016625875601316568,,
2012-07-09,3548386.46,2787841.68,2012,7,,,,0.0,0.0,3.937823228715949,,3.0,137,3548386.46,559.14,0.0,730,23698,0.9660749367088608,402,,25900.631094890512,,0.0,0.0,0.03080428728162714,,
2012-07-10,5234938.62,4044438.84,2012,7,,,,0.0,0.0,5.0,1.0,2.0,183,5234938.62,481.83,0.0,928,23698,0.9660749367088608,402,,28606.221967213114,,0.0,0.0,0.03915942273609587,,
2012-07-11,5582884.78,4338313.07,2012,7,,,,6493.75,4.0,3.937823228715949,,2.0,221,5582884.78,849.91,0.0,1097,23698,0.9660749367088608,402,,25261.922081447967,,0.0,0.0036463081130355514,0.04629082623006161,,
2012-07-12,5734632.02,4458811.27,2012,7,,,,4834.0,1.0,5.0,1.0,2.0,246,5734632.02,987.9499999999999,0.0,1241,23698,0.9660749367088608,402,,23311.512276422764,,0.0,0.0008058017727639,0.05236728837876614,,
2012-07-13,5309511.71,4143402.78,2012,7,,,,0.0,0.0,4.5,2.0,0.0,201,5309511.71,726.02,0.0,995,23698,0.9660749367088608,402,,26415.48114427861,,0.0,0.0,0.0419866655413959,,
2012-07-14,3820831.41,3075464.87,2012,7,,,,52967.0,6.0,3.5,2.0,3.0,157,3820831.41,823.32,0.0,751,23698,0.9660749367088608,402,,24336.505796178346,,0.0,0.007989347536617843,0.03169043801164655,,
2012-07-15,3948841.28,3154482.05,2012,7,,,,13534.619999999999,2.0,4.25,4.0,0.0,149,3948841.28,841.96,0.0,732,23698,0.9660749367088608,402,,26502.290469798656,,0.0,0.00273224043715847,0.030888682589248036,,
2012-07-16,3503801.49,2708219.59,2012,7,,,,16170.54,4.0,4.25,4.0,4.0,140,3503801.49,497.96,0.0,719,23698,0.9660749367088608,402,,25027.1535,,0.0,0.005563282336578581,0.030340113089712212,,
2012-07-17,4476729.49,3463061.65,2012,7,,,,22944.07,5.0,3.875,8.0,2.0,185,4476729.49,611.37,0.0,958,23698,0.9660749367088608,402,,24198.537783783784,,0.0,0.005219206680584551,0.04042535235040932,,
2012-07-18,5184141.46,4072012.16,2012,7,,,,23202.75,4.0,4.875,8.0,2.0,225,5184141.46,1436.98,0.0,1085,23698,0.9660749367088608,402,,23040.628711111112,,0.0,0.003686635944700461,0.04578445438433623,,
2012-07-19,6421487.11,5007270.91,2012,7,,,,35697.71,11.0,3.5555555555555554,9.0,6.0,263,6421487.11,1562.93,0.0,1322,23698,0.9660749367088608,402,,24416.30079847909,,0.0,0.00832072617246596,0.05578529833741244,,
2012-07-20,5171470.46,4213989.64,2012,7,,,,1511.59,1.0,4.6,10.0,1.0,231,5171470.46,1040.52,0.0,1227,23698,0.9660749367088608,402,,22387.318008658007,,0.0,0.0008149959250203749,0.05177652122541987,,
2012-07-21,3442157.02,2746075.45,2012,7,,,,139515.72,19.0,4.538461538461538,13.0,3.0,171,3442157.02,905.44,0.0,855,23698,0.9660749367088608,402,,20129.57321637427,,0.0,0.022222222222222223,0.03607899400793316,,
2012-07-22,3117550.57,2531656.38,2012,7,,,,196470.94,24.0,4.111111111111111,9.0,1.0,140,3117550.57,777.85,0.0,714,23698,0.9660749367088608,402,,22268.218357142858,,0.0,0.03361344537815126,0.03012912482065997,,
2012-07-23,4730517.69,3685006.66,2012,7,,,,127759.84,15.0,4.363636363636363,11.0,3.0,206,4730517.69,1023.62,0.0,1037,23698,0.9660749367088608,402,,22963.67810679612,,0.0,0.01446480231436837,0.04375896700143472,,
2012-07-24,4096496.12,3248450.65,2012,7,,,,81299.68000000001,13.0,4.181818181818182,22.0,5.0,186,4096496.12,701.85,0.0,903,23698,0.9660749367088608,402,,22024.172688172042,,0.0,0.014396456256921373,0.03810448139083467,,
2012-07-25,5246688.08,4140019.37,2012,7,,,,141941.0,24.0,3.75,8.0,3.0,224,5246688.08,1102.07,0.0,1090,23698,0.9660749367088608,402,,23422.714642857143,,0.0,0.022018348623853212,0.04599544265338847,,
2012-07-26,5851965.06,4579171.74,2012,7,,,,46345.31,16.0,4.222222222222222,18.0,6.0,273,5851965.06,1619.98,0.0,1310,23698,0.9660749367088608,402,,21435.769450549447,,0.0,0.012213740458015267,0.055278926491687065,,
2012-07-27,5156699.45,3989402.2,2012,7,,,,53193.439999999995,18.0,3.5,16.0,4.0,212,5156699.45,938.26,0.0,1070,23698,0.9660749367088608,402,,24324.054009433963,,0.0,0.016822429906542057,0.04515148957717951,,
2012-07-28,4326956.84,3403662.59,2012,7,,,,77765.1,26.0,3.4285714285714284,14.0,4.0,176,4326956.84,741.39,0.0,896,23698,0.9660749367088608,402,,24584.982045454544,,0.0,0.029017857142857144,0.03780909781416153,,
2012-07-29,4804199.65,3819645.91,2012,7,,,,188827.85,35.0,3.6666666666666665,18.0,3.0,206,4804199.65,806.07,0.0,972,23698,0.9660749367088608,402,,23321.357524271847,,0.0,0.0360082304526749,0.04101611950375559,,
2012-07-30,6586130.95,5195109.56,2012,7,,,,126235.4,22.0,3.95,20.0,5.0,268,6586130.95,1075.18,0.0,1332,23698,0.9660749367088608,402,,24575.115485074628,,0.0,0.016516516516516516,0.056207274875516924,,
2012-07-31,9151622.14,7142891.18,2012,7,,,,209656.85,44.0,3.8181818181818183,22.0,3.0,381,9151622.14,1976.05,0.0,2016,23698,0.9660749367088608,402,,24020.005616797902,,0.0,0.021825396825396824,0.08507047008186344,,
2012-08-01,9148357.3,7308514.33,2012,8,,,,37734.15,8.0,3.588235294117647,17.0,6.0,360,9148357.3,1746.31,0.0,1693,26249,0.9449189125295507,699,,25412.103611111113,,0.0,0.004725339633786178,0.06449769515029144,,
2012-08-02,9692427.0,7537501.15,2012,8,,,,42250.2,12.0,4.315789473684211,19.0,2.0,413,9692427.0,2001.57,0.0,2038,26249,0.9449189125295507,699,,23468.346246973364,,0.0,0.005888125613346418,0.07764105299249495,,
2012-08-03,9297269.95,7118808.46,2012,8,,,,261973.78000000003,53.0,3.7857142857142856,28.0,4.0,353,9297269.95,1495.13,0.0,1793,26249,0.9449189125295507,699,,26337.875212464587,,0.0,0.029559397657557166,0.06830736409006058,,
2012-08-04,6384195.03,5087528.11,2012,8,,,,68406.08,19.0,4.12,25.0,1.0,245,6384195.03,1000.22,0.0,1161,26249,0.9449189125295507,699,,26057.938897959186,,0.0,0.01636520241171404,0.04423025639071965,,
2012-08-05,2359224.19,1863413.11,2012,8,,,,120347.12,33.0,3.5714285714285716,28.0,1.0,76,2359224.19,165.31,0.0,359,26249,0.9449189125295507,699,,31042.42355263158,,0.0,0.09192200557103064,0.013676711493771192,,
2012-08-06,3630003.7,2922718.71,2012,8,,,,147083.88,20.0,4.125,32.0,2.0,114,3630003.7,388.06,0.0,560,26249,0.9449189125295507,699,,31842.137719298247,,0.0,0.03571428571428571,0.02133414606270715,,
2012-08-07,2240253.44,1781265.84,2012,8,,,,112879.45999999999,29.0,4.026315789473684,38.0,2.0,93,2240253.44,518.16,0.0,471,26249,0.9449189125295507,699,,24088.746666666666,,0.0,0.06157112526539278,0.01794354070631262,,
2012-08-08,2617553.36,1997006.42,2012,8,,,,51784.979999999996,16.0,4.0,28.0,4.0,129,2617553.36,609.7,0.0,621,26249,0.9449189125295507,699,,20291.111317829458,,0.0,0.02576489533011272,0.023658044115966323,,
2012-08-09,4478691.52,3621672.71,2012,8,,,,242575.69999999998,47.0,4.083333333333333,36.0,3.0,156,4478691.52,827.31,0.0,822,26249,0.9449189125295507,699,,28709.561025641022,,0.0,0.057177615571776155,0.03131547868490228,,
2012-08-10,3412496.65,2699279.56,2012,8,,,,271024.06,56.0,3.7837837837837838,37.0,2.0,158,3412496.65,640.39,0.0,757,26249,0.9449189125295507,699,,21598.080063291138,,0.0,0.07397622192866579,0.028839193874052343,,
2012-08-11,2732604.35,2168668.05,2012,8,,,,140878.88,29.0,3.918918918918919,37.0,4.0,110,2732604.35,636.8000000000001,0.0,577,26249,0.9449189125295507,699,,24841.857727272727,,0.0,0.05025996533795494,0.021981789782467905,,
2012-08-12,3388181.83,2654275.25,2012,8,,,,200854.66,41.0,3.5789473684210527,38.0,2.0,138,3388181.83,503.35,0.0,689,26249,0.9449189125295507,699,,24552.04224637681,,0.0,0.059506531204644414,0.026248618995009333,,
2012-08-13,3928170.01,3189564.96,2012,8,,,,152774.26,47.0,4.023809523809524,42.0,2.0,153,3928170.01,747.92,0.0,765,26249,0.9449189125295507,699,,25674.313790849672,,0.0,0.06143790849673202,0.029143967389233874,,
2012-08-14,4033912.16,3258198.58,2012,8,,,,122806.12,29.0,4.023809523809524,42.0,2.0,151,4033912.16,605.36,0.0,765,26249,0.9449189125295507,699,,26714.650066225167,,0.0,0.03790849673202614,0.029143967389233874,,
2012-08-15,3780293.26,2886923.59,2012,8,,,,151816.06,34.0,3.5357142857142856,28.0,4.0,162,3780293.26,793.37,0.0,828,26249,0.9449189125295507,699,,23335.143580246913,,0.0,0.04106280193236715,0.03154405882128843,,
2012-08-16,5249978.18,4222455.97,2012,8,,,,113705.70999999999,24.0,4.075,40.0,3.0,212,5249978.18,926.97,0.0,1153,26249,0.9449189125295507,699,,24764.048018867925,,0.0,0.020815264527320035,0.043925482875538116,,
2012-08-17,4089284.05,3238908.92,2012,8,,,,99923.97,37.0,4.2105263157894735,38.0,2.0,158,4089284.05,824.0,0.0,768,26249,0.9449189125295507,699,,25881.544620253164,,0.0,0.048177083333333336,0.02925825745742695,,
2012-08-18,3450015.71,2808916.94,2012,8,,,,217724.80000000002,39.0,3.8653846153846154,52.0,7.0,135,3450015.71,491.02,0.0,640,26249,0.9449189125295507,699,,25555.671925925926,,0.0,0.0609375,0.024381881214522456,,
2012-08-19,3904300.93,3006801.4,2012,8,,,,202280.82,36.0,4.136363636363637,44.0,4.0,158,3904300.93,770.66,0.0,865,26249,0.9449189125295507,699,,24710.765379746837,,0.0,0.04161849710982659,0.03295363632900301,,
2012-08-20,3541027.32,2827038.81,2012,8,,,,239785.46,62.0,4.054054054054054,37.0,0.0,158,3541027.32,791.65,0.0,796,26249,0.9449189125295507,699,,22411.565316455693,,0.0,0.07788944723618091,0.030324964760562307,,
2012-08-21,4147483.23,3364364.64,2012,8,,,,171977.21,38.0,4.166666666666667,42.0,5.0,172,4147483.23,774.64,0.0,851,26249,0.9449189125295507,699,,24113.274593023256,,0.0,0.04465334900117509,0.03242028267743533,,
2012-08-22,4597682.81,3562468.33,2012,8,,,,136318.88,28.0,4.294117647058823,34.0,3.0,185,4597682.81,914.24,0.0,925,26249,0.9449189125295507,699,,24852.33951351351,,0.0,0.03027027027027027,0.03523943769286449,,
2012-08-23,5478869.55,4195738.04,2012,8,,,,134683.32,39.0,3.8823529411764706,34.0,3.0,231,5478869.55,1353.56,0.0,1107,26249,0.9449189125295507,699,,23718.05,,0.0,0.03523035230352303,0.04217303516324431,,
2012-08-24,4637850.57,3632210.67,2012,8,,,,124958.08,39.0,4.095238095238095,42.0,4.0,196,4637850.57,1039.22,0.0,973,26249,0.9449189125295507,699,,23662.502908163267,,0.0,0.040082219938335044,0.03706807878395368,,
2012-08-25,3589566.28,2784342.75,2012,8,,,,152437.18,35.0,4.12,25.0,2.0,141,3589566.28,578.9399999999999,0.0,701,26249,0.9449189125295507,699,,25457.91687943262,,0.0,0.04992867332382311,0.02670577926778163,,
